ActiveNoBackup,Archive,Area,AreaID,AreaName,AutoDetected,BaR_MPX,BaR_Master,BaR_NFS_Client,BaR_Priority,BaR_STU,BaR_Special,BaR_Tier,BusinessGroup,CIFS,CachePermissions,CachedCells,CanSetUserQuota,Cell,CmodeAreaName,Created,CreatedTimeFull,DNSName,DataDeletionApproved,DefaultUserQuota,Description,DetailedStatus,DisabledPeriod,Disk,DiskPool,DoNotTouch,DoNotTouchDate,Duration,DurationPendingApproval,ExpandedPermissions,ExpirationDate,ExpirationTimeFull,Exports,FSType,FSUsers,FileServer,GlobalPathPrefix,Grace,GracePeriod,InfoCollectionTime,Intelproject,IsCache,IsOnLEHN,IsTargetOfMigration,Kerberos,LIF,LastAccessed,LastModified,LastNotEmptyTime,LastNotEmptyUsage,LocalFullPath,LocalPathPrefix,MasterCopy,MaxDuration,MaxSize,MetaLunId,MetaLunName,MetaLunSize,MigrationTargetAreaID,Mirrors,MonitoringContacts,MonitoringThreshold,Mounts,NeedArchiving,NoBackup,NoShrink,Notification,OpsPerDay,Owner,OwnerWWIDs,Path,PendingPermissionsRequests,Permissions,PhysicalDeletionTime,Policies,Project,QSlot,RaidType,ReadOnly,ReplicationState,Replicators,RequestDate,RequestTimeFull,RequestedSize,Requester,Requirements,ScanDetail,ScanTime,SecondaryOwners,Size,SizeGB,SizePendingApproval,SizeTB,SnapshotPolicy,SnapshotSchedules,SpecialMonitoring,Status,StodFSPermissions,Stod_Type,StorageGroup,StorageGroups,Tier,TopUsersMonitoring,Type,Unix_Mode,Usage,UsageGB,UsageTB,UserQuotaOn,Users,Utilization,WaitReason,WasInternalized,age0,age180,age30,age360,age540,age720,age90,autosize,autosize_increment,data_category,max_autosize,numfiles,sharedpool
false,,mlp_content_disk001,ir.10510,mlp_content_disk001,true,1,,,0,,,1,,false,,,true,mlp,,06/20/2013,06/20/2013 09:29:44,,false,Unlimited,,Active,,vol2,aggr0,false,,,0, sticky,,,-sec=sys rw=mlputil001.isw.intel.com:irvstart001.ir.intel.com:10.102.226.0/24 root=mlputil001.isw.intel.com:irvstart001.ir.intel.com:mlpnfs001.isw.intel.com,Unix,yjoncour sharprob michelth root vbalasub * harrisch millerge,mlpnap01a.isw.intel.com,,,,02/18/2014 02:10:31,,false,false,false,false,,,,02/18/2014 02:10:31,192914,,,,Unlimited,Unlimited,,,0,,,,0,,false,false,false,,0.999,unknown,,,,root:read write execute zavalla:read write execute all:none  sticky,,,,,,false,none,,06/20/2013,06/20/2013 09:29:44,1024000,unknown,,/nfs/site/gen/adm/disk_metrics/nfs-scan/data/mlp/mlpnap01a.isw.intel.com/vol2_mlp_content_disk001.gz,Sun Feb  9 20:15:35 2014,unknown,1024000,1000.0,0,0.977,,,0,Active,,false,,,3,true,NETAPP,2770,192914,188.393,0.184,true,unknown,0.188,,false,192917.129,70770.961,184130.883,0.0,0.0,0.0,183441.945,,,,,7383,
false,,mlp_dropbox_disk001,ir.10509,mlp_dropbox_disk001,true,1,,,0,,,1,,false,,,true,mlp,,06/20/2013,06/20/2013 09:28:47,,false,Unlimited,,Active,,vol4,aggr0,false,,,0, sticky,,,-sec=sys rw=mlputil001.isw.intel.com:irvstart001.ir.intel.com:10.102.226.0/24 root=mlputil001.isw.intel.com:irvstart001.ir.intel.com:mlpnfs001.isw.intel.com,Unix,sharprob tgore root * millerge mmathai jshanly yjoncour michelth abernabe thomasda harrisch kennedyj weaverch,mlpnap01a.isw.intel.com,,,,02/18/2014 02:08:08,,false,false,false,false,,,,02/18/2014 02:08:08,354986,,,,Unlimited,Unlimited,,,0,,,,0,,false,false,false,,0.997,unknown,,,,root:read write execute zavalla:read write execute all:none  sticky,,,,,,false,none,,06/20/2013,06/20/2013 09:28:47,1024000,unknown,,/nfs/site/gen/adm/disk_metrics/nfs-scan/data/mlp/mlpnap01a.isw.intel.com/vol4_mlp_dropbox_disk001.gz,Sun Feb  9 20:08:02 2014,unknown,1024000,1000.0,0,0.977,,,0,Active,,false,,,3,true,NETAPP,2770,354986,346.666,0.339,true,unknown,0.347,,false,354993.148,194753.301,354986.148,0.0,0.0,0.0,353689.062,,,,,17510,
false,,mlp_ec_Commontools,ir.10513,mlp_ec_Commontools,true,1,,,0,,,1,,false,,,true,mlp,,06/20/2013,06/20/2013 09:32:48,,false,Unlimited,,Active,,vol0,aggr0,false,,,0,,,,-sec=sys ro=mlputil001.isw.intel.com:irvstart001.ir.intel.com:10.102.226.0/24 root=mlputil001.isw.intel.com:irvstart001.ir.intel.com:mlpnfs001.isw.intel.com,Unix,* usrintel root 57780 washmgr acqsys,mlpnap01a.isw.intel.com,,,,02/18/2014 02:10:39,,false,false,false,false,,,,02/18/2014 02:10:39,133723,,,,Unlimited,Unlimited,,,0,,,,0,,false,false,false,,0.999,unknown,,,,usrintel:read write execute 2:read execute all:read execute ,,,,,,false,none,,06/20/2013,06/20/2013 09:32:48,307200,unknown,,/nfs/site/gen/adm/disk_metrics/nfs-scan/data/mlp/mlpnap01a.isw.intel.com/vol0_mlp_ec_Commontools.gz,Sun Feb  9 22:28:07 2014,unknown,307200,300.0,0,0.293,,,0,Active,,false,,,3,true,NETAPP,755,133723,130.589,0.128,true,unknown,0.435,,false,134821.289,133694.934,133713.504,0.0,0.0,0.0,133707.324,,,,,2885641,
false,,mlp_ec_gen_adm,ir.10539,mlp_ec_gen_adm,true,1,,,0,,,1,,false,,,true,mlp,,06/25/2013,06/25/2013 14:33:51,,false,Unlimited,,Active,,vol0,aggr0,false,,,0,,,,-sec=sys rw=mlputil001.isw.intel.com:irvstart001.ir.intel.com:10.102.226.0/24 root=mlputil001.isw.intel.com:irvstart001.ir.intel.com:mlpnfs001.isw.intel.com,Unix,pcuser root * ganglia 27193 vnblock netbatch,mlpnap01a.isw.intel.com,,,,02/18/2014 02:08:18,,false,false,false,false,,,,02/18/2014 02:08:18,5109,,,,Unlimited,Unlimited,,,0,,,,0,,false,false,false,,349.48,unknown,,,,root:read write execute root:read execute all:read execute ,,,,,,false,none,,06/25/2013,06/25/2013 14:33:51,0,unknown,,/nfs/site/gen/adm/disk_metrics/nfs-scan/data/mlp/mlpnap01a.isw.intel.com/vol0_mlp_ec_gen_adm.gz,Sun Feb  9 20:14:02 2014,unknown,0,0.0,0,0.0,,,0,Active,,false,,,3,true,NETAPP,755,5109,4.989,0.005,true,unknown,N/A,,false,5116.195,5109.367,5109.43,0.0,0.0,0.0,5109.367,,,,,31655,
false,,mlp_ec_gen_platforms,ir.10540,mlp_ec_gen_platforms,true,1,,,0,,,1,,false,,,true,mlp,,06/25/2013,06/25/2013 14:33:51,,false,Unlimited,,Active,,vol0,aggr0,false,,,0,,,,-sec=sys rw=mlputil001.isw.intel.com:irvstart001.ir.intel.com:10.102.226.0/24 root=mlputil001.isw.intel.com:irvstart001.ir.intel.com:mlpnfs001.isw.intel.com,Unix,root,mlpnap01a.isw.intel.com,,,,02/10/2014 14:06:25,,false,false,false,false,,,,,0,,,,Unlimited,Unlimited,,,0,,,,0,,false,false,false,,1.0,unknown,,,,root:read write execute root:read write execute all:none ,,,,,,false,none,,06/25/2013,06/25/2013 14:33:51,0,unknown,,/nfs/site/gen/adm/disk_metrics/nfs-scan/data/mlp/mlpnap01a.isw.intel.com/vol0_mlp_ec_gen_platforms.gz,Sun Feb  9 20:05:33 2014,unknown,0,0.0,0,0.0,,,0,Active,,false,,,3,true,NETAPP,770,0,0.0,0.0,true,unknown,N/A,,false,0.004,0.0,0.0,0.0,0.0,0.0,0.0,,,,,1,
false,,mlp_ec_home,ir.10514,mlp_ec_home,true,1,,,0,,,1,,false,,,true,mlp,,06/20/2013,06/20/2013 09:32:48,,false,Unlimited,,Active,,vol0,aggr0,false,,,0,,,,-sec=sys rw=mlputil001.isw.intel.com:irvstart001.ir.intel.com:10.102.226.0/24 root=mlputil001.isw.intel.com:irvstart001.ir.intel.com:mlpnfs001.isw.intel.com,Unix,kbalinsk root godrisco jsheppar 61922 dcoulthu sskuma3x robsonjo adebatti jewins 11484514 davebald abernabe dowjonat postrin jbarstow tgore * kgardine pcartwri omateolo omuravey millerge jdkarpin tcorring johnharr michelth 30 philipoc jsvasish plaws p4prod mvenkate telf rbarbalh dstuttar jmcapps thomass mmathai petercol ilister 11411705 johnelli thomasda dmoneil2 kmohamme rcontre1 mcaulaya harrisch weaverch eberryma gekoutni sbonifaz sharprob mcasula blwillia lkpartha ppontin bduckwor jbloomfi phuxley garysmit robertbe rstuckey trenouf jshanly yjoncour glancast mdejaegh jpsantos rkswamyx colindav bhilton kennedyj murphyni kletour,mlpnap01a.isw.intel.com,,,,02/14/2014 18:07:55,,false,false,false,false,,,,02/14/2014 18:07:55,2372,,,,Unlimited,Unlimited,,,0,,,,0,,false,false,false,,1.0,unknown,,,,root:read write execute root:read execute all:read execute ,,,,,,false,none,,06/20/2013,06/20/2013 09:32:48,102400,unknown,,/nfs/site/gen/adm/disk_metrics/nfs-scan/data/mlp/mlpnap01a.isw.intel.com/vol0_mlp_ec_home.gz,Sun Feb  9 20:21:42 2014,unknown,102400,100.0,0,0.098,,,0,Active,,false,,,3,true,NETAPP,755,2372,2.316,0.002,true,unknown,0.023,,false,2408.566,2371.02,2371.703,0.0,0.0,0.0,2371.508,,,,,34344,
false,,mlp_homepub_disk001,ir.10515,mlp_homepub_disk001,true,1,,,0,,,1,,false,,,true,mlp,,06/20/2013,06/20/2013 10:23:43,,false,Unlimited,,Active,,vol1,aggr0,false,,,0, sticky,,,-sec=sys rw=mlputil001.isw.intel.com:irvstart001.ir.intel.com:10.102.226.0/24 root=mlputil001.isw.intel.com:irvstart001.ir.intel.com:mlpnfs001.isw.intel.com,Unix,root jsheppar 61922 dstuttar dcoulthu thomass petercol johnelli davebald abernabe landerje harrisch weaverch postrin * phuxley omateolo garysmit rstuckey omuravey trenouf jshanly tcorring glancast mdejaegh johnharr colindav philipoc mbolat plaws kennedyj,mlpnap01a.isw.intel.com,,,,02/10/2014 14:10:19,,false,false,false,false,,,,02/10/2014 14:10:19,691943,,,,Unlimited,Unlimited,,,0,,,,0,,false,false,false,,118610.188,unknown,,,,root:read write execute zavalla:read write execute all:none  sticky,,,,,,false,none,,06/20/2013,06/20/2013 10:23:43,1024000,unknown,,/nfs/site/gen/adm/disk_metrics/nfs-scan/data/mlp/mlpnap01a.isw.intel.com/vol1_mlp_homepub_disk001.gz,Sat Dec 21 23:04:39 2013,unknown,1024000,1000.0,0,0.977,,,0,Active,,false,,,3,true,NETAPP,2770,691943,675.726,0.66,true,unknown,0.676,,false,522448.246,2379.418,190933.539,433.098,76.672,4.102,135486.371,,,,,2095354,
false,,mlp_projects_linktree,ir.10516,mlp_projects_linktree,true,1,,,0,,,1,,false,,,true,mlp,,06/20/2013,06/20/2013 10:23:43,,false,Unlimited,,Active,,vol1,aggr0,false,,,0,,,,-sec=sys rw=mlputil001.isw.intel.com:irvstart001.ir.intel.com:10.102.226.0/24 root=mlputil001.isw.intel.com:irvstart001.ir.intel.com:mlpnfs001.isw.intel.com,Unix,* root jsheppar,mlpnap01a.isw.intel.com,,,,02/14/2014 18:02:45,,false,false,false,false,,,,,0,,,,Unlimited,Unlimited,,,0,,,,0,,false,false,false,,0.997,unknown,,,,root:read write execute root:read write execute all:read write execute ,,,,,,false,none,,06/20/2013,06/20/2013 10:23:43,10,unknown,,/nfs/site/gen/adm/disk_metrics/nfs-scan/data/mlp/mlpnap01a.isw.intel.com/vol1_mlp_projects_linktree.gz,Sun Feb  9 20:08:16 2014,unknown,10,0.01,0,0.0,,,0,Active,,false,,,3,true,NETAPP,777,0,0.0,0.0,true,unknown,0.0,,false,0.02,0.0,0.0,0.0,0.0,0.0,0.0,,,,,11,
false,,mlp_users_linktree,ir.10517,mlp_users_linktree,true,1,,,0,,,1,,false,,,true,mlp,,06/20/2013,06/20/2013 10:23:43,,false,Unlimited,,Active,,vol1,aggr0,false,,,0,,,,-sec=sys rw=mlputil001.isw.intel.com:irvstart001.ir.intel.com:10.102.226.0/24 root=mlputil001.isw.intel.com:irvstart001.ir.intel.com:mlpnfs001.isw.intel.com,Unix,* root jsheppar,mlpnap01a.isw.intel.com,,,,02/18/2014 02:08:06,,false,false,false,false,,,,08/30/2013 07:56:58,10,,,,Unlimited,Unlimited,,,0,,,,0,,false,false,false,,49641.002,unknown,,,,root:read write execute root:read write execute all:read write execute ,,,,,,false,none,,06/20/2013,06/20/2013 10:23:43,10,unknown,,/nfs/site/gen/adm/disk_metrics/nfs-scan/data/mlp/mlpnap01a.isw.intel.com/vol1_mlp_users_linktree.gz,Sun Feb  9 20:06:51 2014,unknown,10,0.01,0,0.0,,,0,Active,,false,,,3,true,NETAPP,777,0,0.0,0.0,true,unknown,0.0,,false,0.004,0.0,0.0,0.0,0.0,0.0,0.0,,,,,64,
false,,mlp_vlv2_disk001,ir.10508,mlp_vlv2_disk001,true,1,,,0,,,1,,false,,,true,mlp,,06/20/2013,06/20/2013 09:28:31,,false,Unlimited,,Active,,vol3,aggr0,false,,,0, sticky,,,-sec=sys rw=mlputil001.isw.intel.com:irvstart001.ir.intel.com:10.102.226.0/24 root=mlputil001.isw.intel.com:irvstart001.ir.intel.com:mlpnfs001.isw.intel.com,Unix,sbonifaz sharprob tgore root vbalasub ddavies bduckwor * kgardine millerge yjoncour michelth plaws gsalvato,mlpnap01a.isw.intel.com,,,,02/10/2014 14:07:48,,false,false,false,false,,,,02/10/2014 14:07:48,172852,,,,Unlimited,Unlimited,,,0,,,,0,,false,false,false,,1.0,unknown,,,,root:read write execute zavalla:read write execute all:none  sticky,,,,,,false,none,,06/20/2013,06/20/2013 09:28:31,1024000,unknown,,/nfs/site/gen/adm/disk_metrics/nfs-scan/data/mlp/mlpnap01a.isw.intel.com/vol3_mlp_vlv2_disk001.gz,Sun Feb  9 20:09:19 2014,unknown,1024000,1000.0,0,0.977,,,0,Active,,false,,,3,true,NETAPP,2770,172852,168.801,0.165,true,unknown,0.169,,false,172860.227,69104.645,171729.668,4576.707,4576.707,1023.113,171499.723,,,,,30028,
